year,format,team,seed,trank,adj_em,adj_t,win_count,win_pct,actual_champion
2025,10-team double bye,Valparaiso,11,207.0,-3.8,68.2,0,0.0,0
2025,10-team double bye,Missouri St.,12,201.0,-3.2,64.0,0,0.0,0
2025,8-team no byes,Drake,1,52.0,15.4,59.1,6067,60.67,1
2025,8-team no byes,Bradley,2,86.0,8.7,66.0,1795,17.95,0
2025,8-team no byes,Northern Iowa,3,104.0,5.7,65.4,925,9.25,0
2025,8-team no byes,Belmont,4,125.0,3.9,70.9,443,4.43,0
2025,8-team no byes,Illinois St.,5,121.0,4.2,66.0,450,4.5,0
2025,8-team no byes,Illinois Chicago,6,189.0,-2.2,69.3,97,0.97,0
2025,8-team no byes,Murray St.,7,151.0,0.6,64.9,160,1.6,0
2025,8-team no byes,Southern Illinois,8,174.0,-1.3,68.1,63,0.63,0
2025,8-team no byes,Indiana St.,9,196.0,-3.0,72.6,0,0.0,0
2025,8-team no byes,Evansville,10,257.0,-7.2,67.1,0,0.0,0
2025,8-team no byes,Valparaiso,11,207.0,-3.8,68.2,0,0.0,0
2025,8-team no byes,Missouri St.,12,201.0,-3.2,64.0,0,0.0,0
2025,10-team 6 single byes,Drake,1,52.0,15.4,59.1,6047,60.47,1
2025,10-team 6 single byes,Bradley,2,86.0,8.7,66.0,1917,19.17,0
2025,10-team 6 single byes,Northern Iowa,3,104.0,5.7,65.4,947,9.47,0
2025,10-team 6 single byes,Belmont,4,125.0,3.9,70.9,393,3.93,0
2025,10-team 6 single byes,Illinois St.,5,121.0,4.2,66.0,473,4.73,0
2025,10-team 6 single byes,Illinois Chicago,6,189.0,-2.2,69.3,61,0.61,0
2025,10-team 6 single byes,Murray St.,7,151.0,0.6,64.9,116,1.16,0
2025,10-team 6 single byes,Southern Illinois,8,174.0,-1.3,68.1,32,0.32,0
2025,10-team 6 single byes,Indiana St.,9,196.0,-3.0,72.6,12,0.12,0
2025,10-team 6 single byes,Evansville,10,257.0,-7.2,67.1,2,0.02,0
2025,10-team 6 single byes,Valparaiso,11,207.0,-3.8,68.2,0,0.0,0
2025,10-team 6 single byes,Missouri St.,12,201.0,-3.2,64.0,0,0.0,0
